guess,mean,med,std
cairn,338.205526770294,123.0,452.257232071307
caret,282.283246977547,123.0,385.972895001732
clone,313.140759930915,123.0,417.20265189507
drone,338.114853195164,123.0,441.605515472221
louie,274.814335060449,123.0,357.906755816665
orate,267.424006908463,123.0,375.370631314205
sient,338.86701208981,123.0,447.670971738446
grone,362.719775474957,124.0,460.531064060973
liner,350.900259067358,124.0,466.91180271667
pance,346.035405872193,124.0,446.779805786019
roate,248.894214162349,124.0,346.712169283629
saute,259.984887737478,124.0,344.559170874501
sayne,272.108808290155,124.0,353.290239518765
siren,288.105354058722,124.0,389.151316876926
prose,328.641623488774,125.0,433.522957731341
senor,302.954663212435,125.0,400.990984230281
stoae,263.540155440414,125.0,349.505135664023
blore,345.096718480138,126.0,444.372835082682
loure,297.35103626943,126.0,397.77905977064
louse,312.57469775475,126.0,417.099946626885
neist,357.88298791019,126.0,475.064772343866
setae,319.509930915371,126.0,403.167772274916
socle,275.947754749568,126.0,364.341113443542
aisle,294.714162348877,127.0,396.563495484049
brine,345.401554404145,127.0,441.552894157469
canst,370.272020725389,127.0,495.609618122324
close,299.103195164076,127.0,406.127304694351
crate,276.34067357513,127.0,387.08082000171
daine,298.000431778929,127.0,388.164488857727
manse,327.496545768566,127.0,425.724497946983
nurse,354.178324697755,127.0,455.854035480535
siree,285.962003454231,127.0,364.876001101511
slope,322.430051813471,127.0,417.635548368007
sorel,261.904576856649,127.0,359.209293577484
alien,307.544041450777,128.0,410.41950540115
ariot,292.513385146805,128.0,397.851127819383
atone,297.676597582038,128.0,394.312812185731
ayrie,300.876079447323,128.0,380.107622269634
cadie,313.507772020725,128.0,403.904873463811
carle,278.428756476684,128.0,383.444070473579
carse,276.450345423143,128.0,380.329455506121
carte,285.30310880829,128.0,390.201089663754
dealt,325.810880829016,128.0,432.875123112719
hanse,317.959844559586,128.0,417.826602902579
lance,321.414507772021,128.0,425.53880675827
locie,310.327288428325,128.0,403.189631579384
roule,294.866148531952,128.0,395.158353859111
setal,316.158462867012,128.0,416.57935382352
sitar,317.387737478411,128.0,428.27274963839
baste,347.342400690846,129.0,435.841782514015
blaer,332.429620034542,129.0,431.885733792122
glare,319.825129533679,129.0,424.322709304761
paise,280.346286701209,129.0,373.35038596909
pause,321.168393782383,129.0,411.162858290161
prone,326.267271157168,129.0,426.989019924051
scrae,299.104490500864,129.0,392.611766818303
stane,283.424438687392,129.0,386.394058963205
tiars,347.766839378238,129.0,468.482742890128
trans,348.98920552677,129.0,474.715061851027
caste,306.352331606218,130.0,403.702959732159
cutie,342.334196891192,130.0,435.742027101034
faine,312.402849740933,130.0,392.609366332279
gilet,370.256476683938,130.0,478.720922526164
isnae,341.236614853195,130.0,434.355327432174
maire,273.860535405872,130.0,360.791050705372
maise,280.828151986183,130.0,372.955022276478
paire,265.60621761658,130.0,354.910943029154
silen,312.878670120898,130.0,420.534698674079
since,310.199050086356,130.0,407.239629011645
sired,316.703367875648,130.0,413.369273207201
slime,318.625647668394,130.0,417.295995054805
trace,282.674870466321,130.0,393.40366673566
hause,312.85664939551,131.0,401.052864026805
maile,292.674870466321,131.0,384.152838204294
noule,332.519430051813,131.0,435.165001910733
rosin,412.246977547496,131.0,534.375822777624
siler,284.053540587219,131.0,386.090094209981
tiler,321.615716753022,131.0,439.554663688816
ursae,299.285837651123,131.0,395.138472475173
aiyee,342.829015544041,132.0,409.086951679743
haole,264.000863557858,132.0,344.538664848996
liane,275.022020725389,132.0,374.543735606469
parle,301.433937823834,132.0,403.74612925278
pilae,324.19689119171,132.0,418.502175545523
scale,295.731433506045,132.0,398.12455204671
seare,303.129533678756,132.0,395.146272580544
toile,253.616148531952,132.0,352.911092491404
toric,423.254749568221,132.0,554.494002677672
brise,323.236183074266,133.0,422.37617240857
clote,299.481865284974,133.0,403.550731868385
crost,361.993955094991,133.0,494.700837195547
cruse,333.668393782383,133.0,439.759326149907
elate,353.406735751295,133.0,448.322891032963
false,341.138601036269,133.0,432.005547775087
potae,288.016839378238,133.0,369.022681201511
roset,318.832901554404,133.0,429.200023517004
shent,408.243091537133,133.0,511.804188621047
siled,339.14896373057,133.0,440.228834862372
slide,311.607081174439,133.0,413.756497312883
slipe,327.801381692573,133.0,427.662636581816
tawie,324.600172711572,133.0,411.629640073992
antre,322.357512953368,134.0,435.558763782927
blare,325.622625215889,134.0,423.270156199732
paste,347.564766839378,134.0,443.436046258015
plate,307.848877374784,134.0,407.623368865662
rines,369.612262521589,134.0,481.029827506649
saint,296.470207253886,134.0,409.978709316196
seton,338.72884283247,134.0,437.62312835126
sieth,400.434801381693,134.0,493.3832979385
sutor,387.422279792746,134.0,494.165388413625
tarsi,364.12780656304,134.0,485.933645297905
teals,329.588514680484,134.0,436.856516398536
trode,344.050949913644,134.0,462.657955275917
ulnae,317.791882556131,134.0,411.651154337169
clade,343.779792746114,135.0,452.380364096884
cloye,341.082469775475,135.0,430.396335127091
crest,353.419689119171,135.0,466.472469753206
earnt,321.256908462867,135.0,428.827685260125
glode,416.016407599309,135.0,512.344203523393
grise,336.025043177893,135.0,441.602612790176
least,305.72322970639,135.0,416.666275496564
plait,367.996545768566,135.0,488.830058308601
roast,305.794905008636,135.0,421.781245738794
roist,327.087651122625,135.0,447.237708262543
slart,290.861398963731,135.0,403.776977184353
stale,279.504749568221,135.0,378.440556543618
thane,317.353195164076,135.0,422.723438475879
tirls,377.288428324698,135.0,493.755139658793
alist,356.848877374784,136.0,484.6043640735
carol,342.422279792746,136.0,461.627058159735
citer,358.789723661485,136.0,476.224943035869
clast,363.34067357513,136.0,495.26787751726
drole,320.84585492228,136.0,431.64288493698
dulse,386.964594127807,136.0,491.810779912687
flane,342.992227979275,136.0,435.684579795199
leant,294.151122625216,136.0,398.076165751681
logie,340.123488773748,136.0,427.588201746836
meant,336.051813471503,136.0,435.001413459329
minae,337.077720207254,136.0,422.0350645205
place,345.764248704663,136.0,451.155452168662
ploat,367.131692573402,136.0,482.491528964128
prase,309.906735751295,136.0,416.573109882115
prise,326.357512953368,136.0,430.523410400053
prole,310.392055267703,136.0,417.00380843329
riots,397.667962003454,136.0,522.751302495154
sider,342.481433506045,136.0,442.337505009066
slave,341.825129533679,136.0,430.249420945019
their,383.357512953368,136.0,497.253625452451
trice,303.033678756477,136.0,415.086515415687
trois,377.769861830743,136.0,507.444683953553
untie,390.509930915371,136.0,492.592893201526
urase,283.631260794473,136.0,388.556975425651
anole,295.447322970639,137.0,388.225099236892
brane,312.349309153713,137.0,412.239894515548
caple,344.805699481865,137.0,443.145992727351
cease,340.493523316062,137.0,437.774966552821
gairs,373.434801381693,137.0,470.907182554055
glair,347.458981001727,137.0,452.349286430766
loast,316.967616580311,137.0,435.45822967673
loris,370.164507772021,137.0,484.4106001245
mulse,409.329015544042,137.0,506.772700416818
pagle,372.139032815199,137.0,463.635924991045
rosit,371.38816925734,137.0,496.740785745264
scent,392.449481865285,137.0,500.906847213178
seral,297.496545768566,137.0,397.951566440092
shale,284.569948186529,137.0,379.314799805333
slain,329.652417962003,137.0,451.932760913874
tawse,352.947754749568,137.0,444.793424849978
togae,303.634715025907,137.0,386.532793458117
suent,364.736614853195,137.5,461.957669811476
ancle,366.613989637306,138.0,473.261383724392
anile,310.120466321243,138.0,413.051196963683
crony,377.049222797927,138.0,469.12458724054
earst,328.180483592401,138.0,436.242179434619
grate,310.463730569948,138.0,419.401814041529
grist,396.331174438687,138.0,521.868063806606
nitre,337.05310880829,138.0,449.669528026147
noris,428.603195164076,138.0,546.384359977293
ronte,310.728411053541,138.0,421.004168379477
sabre,292.677892918826,138.0,380.130448058692
sited,349.238341968912,138.0,449.122605375023
slake,326.933506044905,138.0,413.630489913055
slant,310.474525043178,138.0,434.384593106976
spane,311.42530224525,138.0,409.65616519649
stain,375.406303972366,138.0,497.041527643462
stare,283.376079447323,138.0,387.11559121967
talar,417.443005181347,138.0,518.137504151237
tasar,453.429188255613,138.0,554.543805812059
tenor,350.918825561313,138.0,476.732157727294
thale,308.481865284974,138.0,408.118623037624
tians,382.959412780656,138.0,503.673324048874
uraei,270.445164075993,138.0,328.798645793324
arene,351.983592400691,139.0,447.075671803048
biner,410.152849740933,139.0,511.758226988449
blase,329.458981001727,139.0,431.080828140324
chile,364.294905008636,139.0,470.706357488941
clear,345.412348877375,139.0,458.60315816271
crans,367.814335060449,139.0,487.544563246057
olpae,335.430483592401,139.0,415.624022138726
sable,304.174006908463,139.0,389.574826597474
shoat,371.633851468048,139.0,480.533312216209
solei,283.708981001727,139.0,367.075670221777
spate,318.033246977547,139.0,415.163602215735
stile,303.804835924007,139.0,412.993732157836
suite,296.009930915371,139.0,390.864385606941
table,332.820811744387,139.0,422.544186929528
trade,306.690846286701,139.0,420.162959564545
trape,312.070811744387,139.0,421.116264419312
cable,359.287996545769,140.0,450.730030784141
glace,349.535405872193,140.0,451.190684929386
loric,419.584628670121,140.0,539.668083902562
niter,386.965457685665,140.0,513.070547078387
oriel,282.560017271157,140.0,383.550331038272
plast,395.561312607945,140.0,519.259989434879
plier,335.903713298791,140.0,443.142419675431
rotis,415.55829015544,140.0,538.230339673113
shite,336.6701208981,140.0,438.527090943429
sidle,318.535405872193,140.0,418.011763192197
soree,278.653281519862,140.0,354.179321877184
spale,315.142055267703,140.0,413.758850408138
taupe,325.349309153713,140.0,413.353663523806
tsade,347.687392055268,140.0,450.994932601133
claes,320.583765112263,141.0,421.334104920994
clart,328.530656303972,141.0,449.559370941669
doest,369.353195164076,141.0,474.898305397341
frate,319.67530224525,141.0,415.158911429887
glade,388.58506044905,141.0,487.071249236568
gloat,383.329447322971,141.0,497.889034811587
istle,380.36701208981,141.0,487.754818395611
mitre,350.816493955095,141.0,450.974388803113
nirls,409.312176165803,141.0,516.303504299028
phone,378.1701208981,141.0,468.104981197796
praos,391.559153713299,141.0,504.154952737485
prate,300.327288428325,141.0,407.960188374082
psoae,320.577720207254,141.0,400.419278642501
retie,391.642487046632,141.0,484.004233055082
roans,339.708981001727,141.0,448.457755499779
saree,266.508203799655,141.0,341.279687333814
scare,293.42530224525,141.0,392.440401482685
seron,320.417098445596,141.0,418.675209346505
skate,338.186960276339,141.0,425.41480103039
swale,334.038860103627,141.0,424.37598070965
thrae,327.268134715026,141.0,428.243326447983
touse,312.885578583765,141.0,412.230955354148
trier,384.116148531952,141.0,482.382744067062
tries,313.887305699482,141.0,425.534398914494
walie,331.80829015544,141.0,417.542118453771
ariel,260.304404145078,142.0,357.305059536285
curet,333.034542314335,142.0,433.097252251525
elint,376.876511226252,142.0,490.087327997357
macle,370.315198618307,142.0,463.576601671952
prent,378.688687392055,142.0,490.956873501846
reate,344.07426597582,142.0,444.483274253657
rials,328.126943005181,142.0,432.81264692039
risen,362.690414507772,142.0,475.864392097343
solar,290.052677029361,142.0,390.557278965146
soral,301.31390328152,142.0,404.297247956379
tuile,305.685664939551,142.0,413.754018160401
artel,292.839810017271,143.0,399.549855551298
blate,322.193868739206,143.0,413.82637501998
cauri,379.849740932642,143.0,474.578237539782
clats,408.510362694301,143.0,534.905896631456
coset,316.16493955095,143.0,414.65514204224
leare,341.094127806563,143.0,442.811073063564
lirot,339.400690846287,143.0,457.368092921718
lithe,380.740069084629,143.0,481.152529899579
marle,314.68609671848,143.0,414.668470866815
noter,365.234455958549,143.0,486.704402770516
piler,376.604490500864,143.0,488.343693239841
share,288.338946459413,143.0,383.366535034634
snort,352.625647668394,143.0,473.171585842396
stole,291.013816925734,143.0,389.830248019845
sware,333.572970639033,143.0,424.432170367873
tarns,359.376943005181,143.0,479.03512630813
teils,356.152417962003,143.0,474.671516382638
thine,362.768998272884,143.0,471.029322485415
torsi,400.662348877375,143.0,524.498140036202
tripe,339.705526770294,143.0,449.864368890321
adore,342.996977547496,144.0,444.516630226694
alate,352.499136442142,144.0,439.318880332916
armet,333.023316062176,144.0,437.634704096171
birle,332.826856649395,144.0,423.189317074739
blest,413.157599309154,144.0,517.635411057088
culet,344.341537132988,144.0,446.155543799602
inlet,373.10621761658,144.0,486.859463612507
learn,318.912780656304,144.0,437.232156521218
liart,299.844127806563,144.0,411.704619905943
lunet,341.762089810017,144.0,447.410550159168
naris,379.774179620035,144.0,491.568781903062
piert,384.406303972366,144.0,491.569233479532
react,320.385146804836,144.0,430.218315391239
rhone,336.269430051813,144.0,434.492311606055
rotls,388.724525043178,144.0,500.826275474878
shoal,379.173575129534,144.0,493.830210248546
siker,374.253022452504,144.0,463.579834028463
solan,336.801813471503,144.0,445.309947647738
spare,314.018566493955,144.0,410.845969256453
tains,379.070379965458,144.0,501.191146840078
tared,332.215889464594,144.0,441.134718874698
tares,318.100172711572,144.0,426.632970953884
urate,278.793177892919,144.0,378.990172335191
urine,320.117443868739,144.0,421.434084659579
ahent,393.434801381693,145.0,495.450635967245
ahint,425.67530224525,145.0,543.745372941178
bleat,395.776338514681,145.0,480.299831725621
borel,361.764248704663,145.0,463.87594010667
cleat,351.30872193437,145.0,451.878334828756
drail,343.24481865285,145.0,451.463775368415
lyase,331.846718480138,145.0,437.001700964439
neals,355.278929188256,145.0,461.724938366099
plain,412.569948186529,145.0,532.377008649322
prost,397.088514680484,145.0,521.892295788762
slyer,318.450345423143,145.0,415.609386977912
starn,350.563471502591,145.0,469.69224962794
those,351.321675302245,145.0,455.421286630472
trons,392.252158894646,145.0,522.567039211715
brent,395.044473229706,146.0,500.122782513764
crash,400.205958549223,146.0,514.641848143741
cruet,319.363557858376,146.0,427.494741171994
dhole,367.6701208981,146.0,467.960066401142
erase,348.216321243523,146.0,452.955134220675
goest,383.785405872193,146.0,487.32339808205
halse,313.504749568221,146.0,409.394767396194
inert,412.937823834197,146.0,528.466083411261
linos,478.370898100173,146.0,608.331236643894
oater,322.370034542314,146.0,436.457220524423
olent,366.633851468048,146.0,479.040833200073
padle,363.084628670121,146.0,461.657728259448
ratel,305.144645941278,146.0,415.005384202815
shote,330.19689119171,146.0,425.439576113199
sieur,314.737046632124,146.0,407.487583646002
simar,355.830310880829,146.0,448.285006685568
stire,296.508203799655,146.0,397.583146061325
strae,289.499568221071,146.0,386.739556633452
sural,341.050086355786,146.0,440.036897230674
taser,324.918393782383,146.0,442.9513542059
throe,350.471934369603,146.0,455.910852552864
tribe,355.629533678756,146.0,463.266821381165
tride,339.13816925734,146.0,451.36016746211
trike,348.282815198618,146.0,447.479670137311
wanle,357.805699481865,146.0,448.981454717503
wrate,328.438255613126,146.0,428.04340334745
bigae,380.603195164076,147.0,446.981639321389
blaes,358.723661485319,147.0,443.90127380157
brace,336.378670120898,147.0,430.672448687956
carts,395.310017271157,147.0,512.910478679613
ceorl,325.905008635579,147.0,436.966920327917
clans,410.073834196891,147.0,535.400227913098
clean,392.019861830743,147.0,500.73219524492
crout,400.710276338515,147.0,528.834013323774
diane,304.424006908463,147.0,395.125171749392
diner,418.992227979275,147.0,531.945405479183
geare,383.73402417962,147.0,473.545728385434
groat,363.903281519862,147.0,477.285130303778
guest,462.464162348877,147.0,558.14348388843
islet,386.539723661485,147.0,498.375108039475
liter,341.164075993092,147.0,457.735881501886
miner,414.041450777202,147.0,520.321591045676
orles,338.231433506045,147.0,444.469259518916
pearl,343.621329879102,147.0,453.127409936271
plage,376.221934369603,147.0,474.218574207535
poler,361.436960276339,147.0,473.460028986643
price,344.000431778929,147.0,444.267520538499
space,333.743523316062,147.0,428.491706839939
spaer,316.294041450777,147.0,415.127790966503
taler,298.498704663212,147.0,410.272658111653
telae,354.162348877375,147.0,442.333563997578
toney,315.282815198618,147.0,389.945818773947
trave,353.653713298791,147.0,456.016343478699
tried,337.651554404145,147.0,450.864292055507
trios,382.461139896373,147.0,510.320689206947
trope,340.55310880829,147.0,451.531283985922
arled,346.080310880829,148.0,449.181751427187
beare,387.922711571675,148.0,469.031757210853
braes,332.822538860104,148.0,422.68761196188
corni,438.29274611399,148.0,555.235506049877
cried,349.323834196891,148.0,452.881404776544
frost,418.866148531952,148.0,532.54606773262
gator,395.753022452504,148.0,510.947304146965
oiler,332.681347150259,148.0,442.947533000255
orant,324.661053540587,148.0,442.119663114816
peart,327.316925734024,148.0,435.732551859636
piety,417.145941278066,148.0,483.750074108008
pleat,376.264248704663,148.0,470.903803706748
raits,351.307858376511,148.0,465.335546969057
ranis,375.933506044905,148.0,488.75646577172
roils,340.34067357513,148.0,449.10205212383
sarge,286.676597582038,148.0,376.094726804093
segol,368.986614853195,148.0,460.436160291657
stade,318.642055267703,148.0,416.983131907497
teary,292.781519861831,148.0,366.3619399396
thole,321.656303972366,148.0,422.658893361241
tuner,364.838082901554,148.0,481.776239378658
uraos,366.61183074266,148.0,477.64120571593
agone,363.259499136442,149.0,443.000702085172
alkie,367.891623488774,149.0,455.611648220936
alter,316.738341968912,149.0,427.413371130144
alure,294.238341968912,149.0,391.428950235128
arsey,292.017702936097,149.0,354.064251026473
birse,332.801813471503,149.0,427.835747954527
cires,346.145077720207,149.0,451.679677421067
crame,336.653281519862,149.0,440.577423288429
crios,389.721502590674,149.0,509.181390775808
filer,411.442141623489,149.0,508.523857565797
flare,335.472797927461,149.0,429.997924193226
grace,332.179188255613,149.0,434.417615478421
ligne,408.947754749568,149.0,501.503168854165
oldie,361.974525043178,149.0,454.9875841455
porae,290.299222797927,149.0,378.979607399199
pusle,414.06390328152,149.0,511.014174162894
relet,372.093264248705,149.0,470.280113143796
rutin,467.301813471503,149.0,585.77525748516
stage,330.69170984456,149.0,425.163746821842
taros,370.229274611399,149.0,492.278644713655
trins,401.334196891192,149.0,529.998864390807
trued,377.69170984456,149.0,487.537788702459
trues,357.501295336788,149.0,464.360586873983
anode,356.299222797927,150.0,451.198644380213
arced,382.240069084629,150.0,484.467411043857
artsy,344.199481865285,150.0,432.869713807149
blent,406.218480138169,150.0,505.684647824059
blite,349.337219343696,150.0,449.056354307725
chare,339.050949913644,150.0,438.570279744943
comae,320.005613126079,150.0,391.632109582113
crons,412.814335060449,150.0,536.303108971882
deair,310.391191709845,150.0,408.848298438679
dinar,419.85664939551,150.0,529.032723598712
easle,375.174006908463,150.0,465.292878747411
feare,397.959412780656,150.0,474.255602764682
fient,451.491796200345,150.0,540.507877655263
fiest,441.990069084629,150.0,532.547856384556
lapse,343.48920552677,150.0,442.062038749915
later,315.929620034542,150.0,427.409344727381
latke,357.956390328152,150.0,440.561237678588
leres,424.482728842833,150.0,522.036347678676
miler,384.63816925734,150.0,488.989208600551
ourie,299.85621761658,150.0,378.041248803854
plies,381.357512953368,150.0,484.206281112949
print,396.350604490501,150.0,522.162711956467
rants,395.919257340242,150.0,514.786456136573
riled,385.041450777202,150.0,492.430928605621
ronts,432.870898100173,150.0,551.958792088239
stein,401.549654576857,150.0,509.502872642524
tears,334.541018998273,150.0,450.37963496958
tilde,366.132124352332,150.0,472.348284381425
trash,382.651986183074,150.0,506.429362861597
tronk,454.363126079447,150.0,568.059867259532
alowe,357.788428324698,151.0,437.20062775732
coste,317.977979274611,151.0,412.071989284508
crake,359.016407599309,151.0,450.786688108244
farse,320.538860103627,151.0,414.437806250223
fease,396.572538860104,151.0,475.391448485434
haste,354.683074265976,151.0,451.153023120353
laree,312.079447322971,151.0,397.323239904658
lathe,337.41493955095,151.0,429.577281919943
milor,434.088082901554,151.0,549.278600142938
minor,478.488773747841,151.0,596.664701999858
morae,303.853195164076,151.0,388.182389100704
ovate,374.537564766839,151.0,447.284683159552
peare,373.386873920553,151.0,465.509109051037
pries,350.358376511226,151.0,447.837112930739
pronk,521.422279792746,151.0,614.697868861511
riles,342.946027633851,151.0,453.130071225225
roads,388.285837651123,151.0,493.406738306494
seame,355.316493955095,151.0,436.98403873858
snake,347.470639032815,151.0,432.34676957179
sorta,341.648100172712,151.0,441.416242346368
spent,419.174006908463,151.0,523.625821786891
teres,425.364421416235,151.0,522.096900396049
tiers,383.481001727116,151.0,494.789001941603
tired,369.697322970639,151.0,487.665402775413
tires,344.73920552677,151.0,458.718111740682
tolar,322.888601036269,151.0,441.266189753871
troad,377.104922279793,151.0,497.136466049727
tronc,419.878670120898,151.0,553.882717118323
tulsi,503.751727115717,151.0,625.772424715893
waite,308.658462867012,151.0,395.042821226022
aesir,302.25,152.0,405.396840081622
arpen,359.003022452504,152.0,468.274869428833
boree,375.626943005181,152.0,445.153637020275
brash,416.563471502591,152.0,516.765367242933
brast,364.785405872193,152.0,478.304801898435
cants,435.062176165803,152.0,554.332005937163
chase,342.56390328152,152.0,441.556578854051
clies,342.314335060449,152.0,450.622729745534
clime,375.471934369603,152.0,478.268784590305
cries,317.23920552677,152.0,419.972105152107
cruel,330.935664939551,152.0,439.247126068981
drent,384.92573402418,152.0,502.559478111217
glean,441.0902417962,152.0,534.272034210782
irade,312.183937823834,152.0,406.166423477456
lairs,319.697754749568,152.0,418.172236275315
liger,410.997409326425,152.0,517.622985452618
lints,495.845423143351,152.0,625.789343678481
orals,345.882556131261,152.0,460.281176181453
pairs,368.715025906736,152.0,467.112818575302
phase,361.98920552677,152.0,456.807103133324
pleon,422.627374784111,152.0,527.670353041782
route,312.105785837651,152.0,412.029031396829
runts,489.363989637306,152.0,594.953908284895
slaty,321.278065630397,152.0,413.715699863434
targe,325.06908462867,152.0,431.056966537136
taroc,390.951208981002,152.0,513.012210451147
thein,453.418825561313,152.0,560.442659719396
traik,386.193868739206,152.0,496.863842248005
troke,351.334196891192,152.0,451.69325556121
urite,309.848445595855,152.0,416.109573854419
waste,372.417962003454,152.0,458.137387512802
wrast,393.376511226252,152.0,505.324226983792
arles,315.725388601036,153.0,418.177887136977
boars,386.819948186528,153.0,481.441381533037
brant,356.986614853195,153.0,467.960270684967
brins,447.407599309154,153.0,549.620092323843
crape,330.690846286701,153.0,434.895572801455
drest,380.091105354059,153.0,496.499447982995
liard,367.572107081174,153.0,472.545237738959
loans,362.515544041451,153.0,476.30227549493
miter,404.100604490501,153.0,515.140005108866
oiled,396.969343696028,153.0,497.690877379682
ornis,428.928756476684,153.0,544.519690165863
outre,347.158462867012,153.0,445.931040414587
pease,381.805267702936,153.0,472.501443734056
prats,414.087219343696,153.0,533.415155415225
pulse,405.021588946459,153.0,503.888579562615
rosti,444.056131260794,153.0,560.838796635186
sault,322.906303972366,153.0,431.667863215491
senti,376.104922279793,153.0,477.887390832833
shape,347.634715025907,153.0,434.771752123401
soave,285.940414507772,153.0,351.76678152757
stake,357.699050086356,153.0,440.230563603712
tiled,385.984887737478,153.0,498.618626784744
tores,335.784974093264,153.0,448.058842227334
triad,371.004749568221,153.0,488.876545630161
tubae,359.035405872193,153.0,431.775900345921
corey,311.868739205527,154.0,379.249275544123
croak,447.424438687392,154.0,543.052475608263
curie,319.0,154.0,406.386950267516
droit,379.653713298791,154.0,507.545096690049
drony,421.939982728843,154.0,510.88693920173
flite,371.406303972366,154.0,464.823244079618
gruel,371.235751295337,154.0,469.854228246601
haute,327.09585492228,154.0,416.002053243088
lease,348.250863557858,154.0,450.903922111457
looie,351.035837651123,154.0,413.58803494056
maerl,362.333765112263,154.0,465.119676185343
nicer,419.642918825561,154.0,533.309291810759
parse,308.598877374784,154.0,408.633574237873
piets,471.894214162349,154.0,570.249927050666
pirls,442.025474956822,154.0,547.311782493043
renal,353.349740932642,154.0,468.987301384106
roles,334.126943005181,154.0,446.200370819602
store,301.677461139896,154.0,404.283258301878
taels,345.366580310881,154.0,449.631134528627
taube,345.349309153713,154.0,425.843624352001
tiles,369.518566493955,154.0,487.178399742492
toled,357.234887737478,154.0,467.679927016727
trial,314.863557858376,154.0,430.83041663534
troat,406.570379965458,154.0,496.771035354514
truce,336.418393782383,154.0,442.602243841256
urent,376.785405872193,154.0,491.934386196528
write,358.990932642487,154.0,457.082836190782
alert,321.27633851468,155.0,429.334138700517
binal,483.604922279793,155.0,585.307906823424
blart,370.094559585492,155.0,477.272476655162
broad,453.801813471503,155.0,545.288346267865
canto,416.281088082902,155.0,534.937509526027
carls,366.369170984456,155.0,478.539339560548
clash,442.351468048359,155.0,560.944247856266
clipe,374.850604490501,155.0,479.261699257769
conte,317.334196891192,155.0,418.897600507901
crier,396.5902417962,155.0,484.27087369562
crits,406.768134715026,155.0,531.317694653161
dater,359.605354058722,155.0,472.746727516296
deare,383.555267702936,155.0,476.486047799532
grail,356.794041450777,155.0,465.522845821512
groan,413.500863557858,155.0,523.663674153331
large,335.515112262522,155.0,436.025558760575
lines,391.10664939551,155.0,505.119200549281
luter,361.872625215889,155.0,469.124608895618
meter,488.405872193437,155.0,574.829119685205
neats,368.773747841105,155.0,480.36094215597
pilar,388.923143350604,155.0,495.414054337594
prest,395.215457685665,155.0,500.719821160571
prosy,406.780656303972,155.0,496.04850864192
ramie,305.842832469775,155.0,391.709221720104
reais,314.942141623489,155.0,414.210491166286
sabir,330.188687392055,155.0,420.930017599675
shade,323.089810017271,155.0,416.85556920927
shame,345.008635578584,155.0,431.998797008207
smite,342.378670120898,155.0,438.907771055614
spite,352.189119170984,155.0,452.342367883228
suint,386.509930915371,155.0,507.720216304102
